Dev positive
hey fire fox	0	1	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/3IKZ72A5B6P5AIITV1XJ5CNR2T7NFR.wav
hey fire fox	0	1	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/33JKGHPFYE3BGSAAHO1W0270ZM9MN7.wav
hey fire fox	0	1	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/34PGFRQONQKB2ED36SFRGTSAO3KJWR.wav
hey fire fox	0	1	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/3FTF2T8WLTRMW20UKGOERZE7RSD9WE.wav
Dev negative
hey moxie	1	0	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/3TR2532VIR3D8ZYXFA2NIZTX0C1J6M.wav
hey moxie	1	0	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/39LNWE0K4W52FZ4STAFQM4SDQDOUI5.wav
hey moxie	1	0	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/3R9WASFE21PZR7WCYP8D0ZU0BE7FZ5.wav
fire fox	1	0	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/common_voice_en_22074788.wav
fire fox	1	0	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/common_voice_en_22176783.wav
fire fox	1	0	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/common_voice_en_22008891.wav
fire fox	1	0	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/common_voice_en_21991877.wav
fire fox	1	0	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/common_voice_en_22063624.wav
fire fox	1	0	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/common_voice_en_22151234.wav
fire fox	1	0	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/common_voice_en_21897890.wav
fire fox	1	0	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/common_voice_en_22105104.wav
"sky saxon's last performance and recording was done in austin, texas."	1	0	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/common_voice_en_19067843.wav
Dev noisy positive
hey fire fox	0	1	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/3IKZ72A5B6P5AIITV1XJ5CNR2T7NFR.wav
hey fire fox	0	1	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/3ZDAD0O1T3MK5HEYSRPHKITQVGOXTS.wav
hey fire fox	0	1	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/33JKGHPFYE3BGSAAHO1W0270ZM9MN7.wav
hey fire fox	0	1	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/3R0T90IZ1ULSXEHXHVUN7MTR4W6GCY.wav
hey fire fox	0	1	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/34PGFRQONQKB2ED36SFRGTSAO3KJWR.wav
hey fire fox	0	1	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/3FTF2T8WLTRMW20UKGOERZE7RSD9WE.wav
hey fire fox	0	1	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/3VSOLARPKDIP54Y6AWDCM23ATZI937.wav
hey fire fox	0	1	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/3EO896NRAY4JAX99BNAGT9LBK6WJTP.wav
hey fire fox	0	1	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/3EKVH9QME0DCNCF4IC49POH8F8BD20.wav
Dev noisy negative
hey moxie	1	0	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/39LNWE0K4W52FZ4STAFQM4SDQDOUI5.wav
hey moxie	1	0	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/3K772S5NPAKLU8WMXSI0IA5V4BJHEK.wav
hey moxie	1	0	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/3R9WASFE21PZR7WCYP8D0ZU0BE7FZ5.wav
fire fox	1	0	/home/brandon1lee/data/kws/speaker-id-split-medium/audio/common_voice_en_21991877.wav
